region,station,kind,param,name,from,to
RI,117,Cal,PM25,Alto Hospicio,160209,260919
RII,201,Cal,0001,Gobernacion,040601,260907
RII,201,Cal,PM10,Gobernacion,040601,260919
RII,202,Cal,0001,Escuela Gabriela Mistral,040612,060213
RII,203,Cal,0001,Escuela E-12,040612,060213
RII,203,Cal,PM10,Escuela E-12,040613,060213
RII,204,Cal,PM10,Sierra Gorda ,120911,260918
RII,204,Cal,PM25,Sierra Gorda ,120911,260918
RII,205,Cal,0001,Centro,040301,070404
RII,206,Cal,0001,Sur,040301,070404
RII,206,Cal,PM10,Sur,040302,070403
RII,207,Cal,0001,Ferrocarriles,000301,081231
RII,207,Cal,0003,Ferrocarriles,000301,081231
RII,207,Cal,0008,Ferrocarriles,080301,081231
RII,207,Cal,PM10,Ferrocarriles,000101,091230
RII,209,Cal,0002,Jardin Infantil Integra,000101,260919
RII,209,Cal,0003,Jardin Infantil Integra,000101,260919
RII,209,Cal,0NOX,Jardin Infantil Integra,000101,260919
RII,209,Cal,PM10,Jardin Infantil Integra,020412,091016
RII,210,Cal,PM10,Hospital,000101,091231
RII,211,Cal,PM10,Iglesia,000101,091231
RII,213,Cal,0001,Sur,000101,081231
RII,213,Cal,ARSE,Sur,090101,091230
RII,213,Cal,PM10,Sur,000101,091230
RII,215,Cal,0001,Punto de Maximo Impacto,070701,091231
RII,215,Cal,0002,Punto de Maximo Impacto,000401,091231
RII,215,Cal,0003,Punto de Maximo Impacto,000401,091231
RII,215,Cal,0004,Punto de Maximo Impacto,080101,091231
RII,215,Cal,0008,Punto de Maximo Impacto,080101,091231
RII,215,Cal,0NOX,Punto de Maximo Impacto,000401,091231
RII,215,Cal,PM10,Punto de Maximo Impacto,000229,091224
RII,216,Cal,0001,Paposo,070614,091231
RII,216,Cal,0002,Paposo,000401,091231
RII,216,Cal,0003,Paposo,000401,091231
RII,216,Cal,0004,Paposo,071001,091231
RII,216,Cal,0008,Paposo,071001,091231
RII,216,Cal,0NOX,Paposo,000401,091231
RII,216,Cal,PM10,Paposo,000229,091224
RII,217,Cal,0001,Hospital del Cobre,020124,260919
RII,217,Cal,ARSE,Hospital del Cobre,090101,091230
RII,217,Cal,PM10,Hospital del Cobre,020105,260919
RII,217,Cal,PM25,Hospital del Cobre,200101,260919
RII,218,Cal,0001,Villa Caspana,000601,080407
RII,218,Cal,PM10,Villa Caspana,000102,080406
RII,219,Cal,0001,Aukahuasi,000101,081231
RII,219,Cal,ARSE,Aukahuasi,090101,091230
RII,219,Cal,PM10,Aukahuasi,000102,091230
RII,220,Cal,0001,San Jose,000101,080502
RII,220,Cal,0004,San Jose,070101,071231
RII,220,Cal,PM10,San Jose,000102,080430
RII,221,Cal,0002,Compania de Bomberos,000101,091231
RII,221,Cal,0003,Compania de Bomberos,000101,091231
RII,221,Cal,0004,Compania de Bomberos,000101,091231
RII,221,Cal,0008,Compania de Bomberos,000101,091130
RII,221,Cal,0NOX,Compania de Bomberos,000101,091231
RII,221,Cal,PM10,Compania de Bomberos,000101,091230
RII,222,Cal,0001,Escuela E-10,080101,190716
RII,222,Cal,0002,Escuela E-10,040301,190716
RII,222,Cal,0003,Escuela E-10,000101,190716
RII,222,Cal,0004,Escuela E-10,111206,190716
RII,222,Cal,0008,Escuela E-10,111215,190716
RII,222,Cal,0NOX,Escuela E-10,040301,190716
RII,222,Cal,PM10,Escuela E-10,000103,190716
RII,222,Cal,PM25,Escuela E-10,111206,190716
RII,224,Cal,00Cu,Oncologico,060102,061230
RII,224,Cal,00Pb,Oncologico,060102,070928
RII,224,Cal,ARSE,Oncologico,060102,061230
RII,224,Cal,PM10,Oncologico,060102,091230
RII,224,Cal,PM1D,Oncologico,130101,260728
RII,225,Cal,00Cu,Rendic,060102,061230
RII,225,Cal,00Pb,Rendic,060102,070630
RII,225,Cal,ARSE,Rendic,060102,061230
RII,225,Cal,PM10,Rendic,060102,091230
